"%s was successfully added to your shopping cart.","%s a fost adăugat în coş."
"Checkout method","Medode de cumparare"
"Checkout with Multiple Addresses","Cumpărături cu adrese multiple"
"City","Oras"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">aici</a> pentru printarea comenzii."
"Close","Inchide"
"Company","Firma"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Imagine produs configurabil"
"Confirm Password","Confirmă parola"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continuă"
"Continue Shopping","Continuă cumpărăturile"
"Continue to Billing Information","Continuă spre Informaţii Facturare"
"Continue to Review Your Order","Continuă spre Informaţii Comanda"
"Continue to Shipping Information","Continuă spre Informaţii Livrare"
"Country","Tara"
"Coupon code ""%s"" is not valid.","Cuponul ""%s"" nu este valid."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Cuponul a fost anulat cu succes."
"Create Billing Address","Crează adresa de facturare"
"Create Shipping Address","Crează adresa de livrare"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Probleme cu salvarea datelor"
"Default Billing","Facturare standard"
"Default Shipping","Livrare standard"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Coduri pentru discount"
"Display Cart Summary","Arată detalii cos"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Arată cantităţile produselor"
"Display number of items in cart","Arată numărul de produse din coş"
"Easy access to your order history and status","Monitorizezi istoricul şi starea comenzilor"
"Edit","Modifică"
"Edit Address","Modifică adresa"
"Edit Billing Address","Modifică adresa de facturare"
"Edit Items","Modifică articole"
"Edit Shipping Address","Modifică adresa de livrare"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Modifică coşul"
"Email Address","E-mail"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","Introdu o nouă adresă"
"Enter your coupon code if you have one.","Dacă beneficiezi de un cupon de reducere, introdu codul aici."
"Enter your destination to get a shipping estimate.","Introdu destinaţia pentru a afla costul estimativ al transportului."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Cost transport cu TVA"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Cumperi eficient"
"Fax","Fax"
"Forgot an Item?","Ai uitat să cumperi ceva?"
"Forgot your password?","Ai uitat parola?"
"Get a Quote","Află o estimare a costului"
"Grand Total","Total final"
"Grouped product image","Imagine produs grupat"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Date greşite"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Metoda de livrare greşita."
"Items","Articole"
"Load customer quote error","Eroare la încărcare"
"Loading next step...","Se încarcă pasul următor..."
"Login","Login"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Cantitatea maxima permisa pentru livrarea la adrese multiple este %s"
"Move to Wishlist","Mută la favorite"
"My Account","Contul meu"
"My Cart","My Cart"
"My Cart (%s item)","Coşul meu (%s produs)"
"My Cart (%s items)","Coşul meu (%s produse)"
"My Cart Link","Spre coşul meu"
"New Address","Adresă noua"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Detalii comandă"
"Order Success","Comandă finalizată"
"Other items in your order","Other items in your order"
"Password","Parola"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Informaţii de plată"
"Payment Method","Metodă de plata"
"Payment method is not defined","Nu este definită metoda de plată"
"Place Order","Plasează comanda"
"Please <a href=""%s"">continue shopping</a>.","Puteti <a href=""%s"">continua cumparaturile</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introdu un cod postal corect. De exemplu 600050."
"Please log in below:","Login:"
"Please select region, state or province","Alege judeţul"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Alege metodele de livrare pentru toate adresele"
"Price","Preţ unitar"
"Proceed to Checkout","Spre finalizarea comenzii"
"Product","Produs"
"Product Name","Nume produs"
"Product does not exist","Produsul nu există"
"Qty","Cantitate"
"Quote Lifetime (days)","Valabilitate estimare (zile)"
"Recently added item(s)","Produse recent adaugate "
"Register","Înregistrează-te"
"Register and save time!","Înregistrează-te şi fii la un pas de evoluţie."
"Register to Create an Account","Înregistrează-te si creaza-ti un cont"
"Register with us for future convenience:","Înregistrează-te în platforma noastră de e-commerce online unde banalul shopping se transformă in plăcerea experienţei de a cumpăra."
"Remove","Şterge"
"Remove Item","Şterge articol"
"Remove Product","Şterge produs"
"Remove item","Remove item"
"Review Order","Detalii comanda"
"Review Order - %s","Detalii comandă - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Salvează în agendă"
"Select Address","Selectează adresa"
"Select Addresses","Selectează adresele"
"Select Shipping Method","Selecteaza metoda de livrare"
"Select State/Province...","Selecteaza judetul..."
"Select a billing address from your address book or enter a new address.","Eşti la primul pas în procesul de achiziţie al articolelor tale.<br/>Selectează adresa de livrare curentă sau adaugă altă adresă."
"Select a shipping address from your address book or enter a new address.","Ai ajuns la pasul 2 din procesul de achiziţie al articolelor preferate.<br/>Selectează adresa de livrare curentă sau adaugă altă adresă."
"Select a delivery method.","Eşti la pasul 3 în procesul de achiziţie.<br/>Mai jos ai taxa de curierat aferentă comenzii tale."
"Select a payment method.","Ai ajuns la pasul 4 din procesul de achiziţie.:"
"Select a payment methodss.","Ai ajuns la pasul 4 din procesul de achiziţie.<br/>Selectează metoda de plată dorită:"
"Checkout Review","Eşti foarte aproape de a-ţi finaliza comanda.<br/>Ai ajuns la ultmul pas din procesul de achiziţie al articolelor preferate.<br/>Mai jos ai sumarul comenzii."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Trimite catre"
"Ship to Multiple Addresses","Livrare la adrese multiple"
"Ship to different address","Livrare la o adresa diferită"
"Ship to this address","Livrare la această adresa"
"Shipping Address","Adresa de livrare"
"Shipping Information","Informaţii de livrare"
"Shipping Method","Metoda de livrare"
"Shipping Methods","Metode de livrare"
"Shipping method has not been selected yet","Metoda de livrare nu a fost aleasa incă"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Livrare către"
"Shopping Cart","Coş de cumpărături"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Coşul de cumpărături este gol"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Unele produse solicitate nu sunt disponibile in cantitatile dorite"
"Some of the products you requested are unavailable","Unele produse solicitate nu sunt disponibile"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Ne pare rau, nu putem face o estimare de cost in acest moment. Te rugam sa ne contactezi pentru detalii."
"State/Province","Judeţul"
"Status","Status"
"Store View","Store View"
"Street Address","Strada"
"Street Address ","Street Address "
"Submitting order information...","Se introduc informaţiile..."
"Subtotal","Subtotal"
"Telephone","Telefon"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Îţi mulţumim pentru comanda efectuată!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sunt <a href=""%s""><strong>%s produse</strong></a> in cos."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Este <a href=""%s""><strong>1 produs</strong></a> in cos."
"There is already a customer registered using this email address.","Exista deja un client inregistrat cu aceasta adresa de e-mail."
"There is already a customer registered using this email address","Exista deja un client inregistrat cu aceasta adresa de e-mail."
"There was an error processing your order. Please contact us or try again later.","A aparut o eroare la procesarea comenzii tale. Te rugam sa ne contactezi sau sa incerci mai tarziu."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total pentru acesta adresa"
"Unit Price","Preț unitar"
"Update Qty &amp; Addresses","Actualizează cantitatea &amp; adresele"
"Update Shopping Cart","Actualizează coşul"
"Update Total","Actualizează total"
"Use Billing Address","Foloseste adresa de facturare"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Comanda este procesata si vei primi un email cu detaliile acesteia. De indata ce vom livra, iti vom trimite un e-mail cu informatiile de urmarire a comenzii."
"You have no items in your shopping cart.","Nu ai niciun produs în coş."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vei primi un e-mail de confirmare a comenzii şi AWB-ul corespunzător comenzii."
"Your Checkout Progress","Stadiul de finalizare a comenzii:"
"Your order # is: %s.","Comanda: %s"
"Your order # is: <a href=""%s"">%s</a>","Comanda: <a href=""%s"">%s</a>"
"Your order number is ","Your order number is "
"Zip/Postal Code","Cod poştal"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Coşul meu"
"Checkout","Checkout"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Proceed to <small>Checkout</small>","Plasează <small>Comanda</small>"
"Clear Shopping Cart","Goleşte coşul"
"%s was added to your shopping cart.","%s a fost adăugat în coşul tău."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aici</a> pentru a continua cumpărăturile."
"Some of the products cannot be ordered in requested quantity.","Unele produse nu pot fi cumpărate deoarece stocul maxim a fost depăşit."
"Credit Card Type","Tipul de Card"
"Credit Card Number","Numărul Cardului"
"Card Verification Number","Numărul de verificare a cardului"
"Your order has been received.","Comanda ta a fost efectuată cu success."
"Credit card number does not match credit card type.","Numărul Cardului nu este valid pentru Tipul de Card ales."
"Card type does not match credit card number.","Tipul cardului nu este valid pentru Numărul Cardului adaugat."
"%d product(s) have been added to shopping cart: %s.","%d produs(e) au fost adaugate in cos: %s."
"Checkout Method","Checkout"
"Please specify shipping method.","Selectaţi o metodă de livrare."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Există deja un utilizator înregistrat cu această adresă de email. Daca deja ai un cont creat cu aceasta adresă te rugăm să te loghezi în cont pentru a plasa comanda. Daca nu ai cont cu această adresă de e-mail, foloseşte o altă adresă pentru crearea contului."
"Please choose to register or to checkout as a guest","Înregistreză-te, loghează-te sau checkout fără înregistrare, pentru a plasa comanda."
