"Date Shipped","Livrat la data"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Delete","Sterge"
"Description message","Description message"
"Discount","Reducere"
"Discount ","Reducere "
"Discount (%s)","Reducere (%s)"
"Discount :","Reducere :"
"Discount Amount","Suma reducere"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","Document"
"Edit","Modifica"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","Modifica comanda #%s"
"Email","Email"
"Email Copy of Credit Memo","Trimite email cu stornarea"
"Email Copy of Invoice","Trimite email cu confirmarea"
"Email Copy of Shipment","Trimite email cu livrarea"
"Email Order Confirmation","Trimite email confirmare comanda"
"Enable","Activează"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"From","de la"
"From Name","de la Nume"
"From:","De la:"
"G.T. (Base)","G.T. (Baza)"
"G.T. (Purchased)","G.T. (Achizitionat)"
"Get shipping methods and rates","Afla metode de livrare si preturi"
"Gift","Cadou"
"Gift Certificate","Certificat cadou"
"Gift Message","Mesaj pentru cadouri"
"Gift Message for Entire Order","Mesaj pentru cadouri pe intreaga comanda"
"Gift Message for this Order","Mesaj pentru cadouri pe aceasta comanda"
"Grand Total","Total general"
"Grand Total to be charged","Total general de confirmat"
"Grand Total:","Total general:"
"Guest","Vizitator"
"Hold","Pune pe asteptare"
"Hold action is not available","Punerea pe asteptare nu e disponibila"
"Hold order","Hold order"
"ID","ID"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Information","Informatii"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Cantitate nevalida pentru a confirma articol ""%s"""
"Invalid qty to refund item ""%s""","Cantitate nevalida pt a storna articol ""%s"""
"Invalid qty to ship for item ""%s""","Cantitate nevalida pt a livra pentru articol ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","Confirmare"
"Invoice #","Confirmare #"
"Invoice # ","Confirmare # "
"Invoice #%s","Confirmare #%s"
"Invoice Comment Email Sender","Expeditor email comentarii confirmare"
"Invoice Comment Email Template","Template email comentarii confirmare"
"Invoice Comment Email Template for Guest","Template email comentarii confirmare pt vizitator"
"Invoice Comments","Comentarii confirmare"
"Invoice Date","Data confirmării"
"Invoice Email Sender","Expeditor email confirmare"
"Invoice Email Template","Template email confirmare"
"Invoice Email Template for Guest","Template email confirmare pt vizitator"
"Invoice Update","Actualizare confirmare"
"Invoice Update for Guest","Actualizare confirmare pt vizitator"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","Emailul cu confirmarea nu a fost trimis"
"Invoice email sent","Emailul cu confirmarea a fost trimis"
"Invoice void problem","Invoice void problem"
"Invoiced","Confirmat"
"Invoices","Confirmări"
"Item","Articol"
"Item Status","Item Status"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item qty declare error","Item qty declare error"
"Items Invoiced","Articole confirmate"
"Items Ordered","Articole comandate"
"Items Refunded","Articole returnate"
"Items Shipped","Articole livrate"
"Items options declare error.","Items options declare error."
"Items to Invoice","Articole de confirmat"
"Items to Refund","articole de returnat"
"Items to Ship","Articole de livrat"
"Last ordered items","Ultimele articole comandate"
"Link to the new order","Link spre comanda noua"
"Link to the previous order","Link spre comanda precedenta"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","Mesaj"
"Message:","Mesaj:"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Mixed","Mixed"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","Comenzile mele"
"My Orders - Details","Comenzile mele - Detalii"
"Name","Name"
"New","Nou"
"New Credit Memo","Stornare noua"
"New Credit Memo for Guest","Stornare noua pt vizitator"
"New Invoice","Confirmare noua"
"New Invoice for Guest","Confirmare noua pt vizitator"
"New Order","Comandă noua"
"New Order Confirmation Email Sender","Expeditor mail de confirmare comanda noua"
"New Order Confirmation Template","Template mail de confirmare comanda noua"
"New Order Confirmation Template for Guest","Template mail de confirmare comanda noua pt vizitator"
"New Order RSS","Comandă noua RSS"
"New Order for Guest","Comandă noua pt vizitator"
"New Shipment","Livrare noua"
"New Shipment for Guest","Livrare noua pt vizitator"
"New Status","Status nou"
"Newsletter Subscription","Abonare newsletter"
"No Items","No Items"
"No Items To Refund","No Items To Refund"
"No Payment Methods","Nici o metoda de plata"
"No detail for number ""%s""","Niciun detaliu pt numarul ""%s"""
"No items","Niciun articol"
"No ordered items","No ordered items"
"No shipping information available","No shipping information available"
"Not Capture","Not Capture"
"Not Notified","Not Notified"
"Notified","Notified"
"Notify Customer","Anunta client"
"Number","Numar"
"On Hold","In asteptare"
"Order","Comanda"
"Order #","Comanda #"
"Order # ","Comanda # "
"Order # %s","Comanda # %s"
"Order #%s","Comanda #%s"
"Order #%s - %s","Comanda #%s - %s"
"Order API","Order API"
"Order Comment","Comentarii comanda"
"Order Comment Email Sender","Expeditor mail comentarii comanda"
"Order Comment Email Template","Template mail comentarii comanda"
"Order Comment Email Template for Guest","Template mail comentarii comanda pt vizitator"
"Order Comments","Comentarii comanda"
"Order Credit Memos","Order Credit Memos"
"Order Currency:","Valuta comenzii:"
"Order Date","Data comenzii"
"Order Date (%s)","Order Date (%s)"
"Order Date: ","Data comenzii: "
"Order Date: %s","Data comenzii: %s"
"Order Details","Detalii comanda"
"Order Grand Total","Total general comanda"
"Order History","Istoric comenzi"
"Order Information","Informaţii comandă"
"Order Invoices","Order Invoices"
"Order Shipments","Order Shipments"
"Order Status","Starea comenzii"
"Order Subtotal","Subtotal comanda"
"Order Subtotal:","Subtotal comanda:"
"Order Total","Total comandă"
"Order Totals","Totaluri comenzi"
"Order Update","Actualizare comandă"
"Order Update for Guest","Actualizare comandă pt vizitator"
"Order View","Vezi comanda"
"Order invoice","Order invoice"
"Order object is not specified.","Order object is not specified."
"Order saving error: %s","Eroare la salvarea comenzii: %s"
"Order shipments","Order shipments"
"Order was not cancelled.","Comanda nu a fost anulata."
"Order was not put on hold.","Comanda nu a fost pusa in asteptare."
"Order was not unholded.","Comanda nu a fost scoasa de pe asteptare."
"Order was placed using %s","Comanda a fost facuta prin %s"
"Order was successfully cancelled.","Comada a fost anulata."
"Order was successfully put on hold.","Comanda a fost pusa pe asteptare."
"Order was successfully released from holding status.","Comanda a fost scoasa de pe asteptare."
"Ordered","Comandat"
"Orders","Comenzi"
"Original Price","Original Price"
"PDF Credit Memos"," Stornări PDF"
"PDF Invoices","Confirmări PDF"
"PDF Packingslips","PDF Packingslips"
"PDF Print-outs","PDF Print-outs"
"PDF object is not specified.","PDF object is not specified."
"PDF page object is not specified.","PDF page object is not specified."
"Packingslip # ","Packingslip # "
"Paid","Platita"
"Paid Amount","Suma platită"
"Partial","Partial"
"Payment Failed","Payment Failed"
"Payment Information","Informaţii plată"
"Payment Method","Metoda de plata"
"Payment Method:","Payment Method:"
"Pending","În curs de desfăşurare"
"Pending PayPal","Pending PayPal"
"Pending Payment","Pending Payment"
"Placed from IP","Placed from IP"
"Please enter positive number in this field.","Please enter positive number in this field."
"Please select a customer","Alege un client"
"Please select a store","Alege un magazin"
"Please select products to add","Alege produse de adăugat"
"Price","Preţ"
"Print","Listează"
"Print All","Listează toate"
"Print All Invoices","Listează toate"
"Print All Refunds","Listează toate"
"Print All Shipments","Listează toate"
"Print Credit Memos","Listează stornări"
"Print Invoice","Listează confirmare"
"Print Invoices","Listează confirmări"
"Print Order","Listează comanda"
"Print Order # %s","Listează comanda # %s"
"Print Packingslips","Listează Packingslips"
"Print Refund","Listează stornare"
"Print Shipment","Listează livrare"
"Processing","Se procesează"
"Processing data problem","Probleme la procesarea datelor"
"Product","Produs"
"Product Name","Nume produs"
"Products","Produse"
"Products in Compare List","Produse în lista de comparaţie"
"Purchased From","Cumpărat de la"
"Purchased On","Cumparat la"
"Purchased from (store)","Cumparat de la (magazin)"
"QTY","Cant."
"Qty","Cantitate"
"Qty Invoiced","Cantitate confirmată"
"Qty Ordered","Cantitate comandată"
"Qty Shipped","Cantitate livrată"
"Qty To Add","Cantitate de adaugat"
"Qty to Invoice","Cantitate de confirmat"
"Qty to Refund","Qty to Refund"
"Qty to Ship","Qty to Ship"
"Recent Orders","Comenzi recente"
"Recently Compared Products","Produse recent comparate"
"Recently Viewed","Recent vizualizate"
"Recently Viewed Products","Produse recent vizualizate"
"Refresh","Refresh"
"Refund","Storneaza"
"Refund #","Storno #"
"Refund #%s","Storno #%s"
"Refund Amount","Suma de stornat"
"Refund Offline","Stornat Offline"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Refunded","Stornat"
"Refunds","Stornari"
"Remove","Şterge"
"Remove Coupon Code","Sterge cod cupon"
"Remove tracking number","Remove tracking number"
"Reorder","Comandă din nou"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Return to Stock"
"Returned","Returnat"
"Row Subtotal","Row Subtotal"
"Row Total","Total pe rand"
"SHIP TO:","LIVREAZA CATRE:"
"SKU","COD"
"SOLD TO:","VANDUT CATRE:"
"Sales","Vânzări"
"Sales Emails","Mailuri vanzari"
"Sales Emails Section","Sales Emails Section"
"Sales Section","Sales Section"
"Same As Billing Address","Identic cu adresa de confirmare"
"Save and Close Message","Save and Close Message"
"Save in address book","Salvează în agendă"
"Select from existing customer addresses:","Alege din adresele existente ale clientului:"
"Send Credit Memo Comment Email Copy To","Trimite copie e-mail comentarii stornari la"
"Send Credit Memo Email Copy To","Trimite copie e-mail stornări la"
"Send Invoice Comment Email Copy To","Trimite copie mail comentarii confirmări la"
"Send Invoice Email Copy To","Trimite copie e-mail confirmări la"
"Send Order Comment Email Copy To","Trimite copie e-mail comentarii comandă la"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Send Order Email Copy To","Trimite copie mail comanda la"
"Send Shipment Comment Email Copy To","Trimite copie e-mail comentarii livrări la"
"Send Shipment Email Copy To","Trimite copie e-mail livrări la"
"Send Tracking Information","Trimite informaţii urmărire"
"Ship","Livrează"
"Ship to","Livreaza către"
"Ship to First name","Prenume"
"Ship to Last name","Nume"
"Ship to Name","Nume"
"Shipment","Livrare"
"Shipment #","Livrare #"
"Shipment #%s","Livrare #%s"
"Shipment Comment Email Sender","Expeditor e-mail comentarii livrări"
"Shipment Comment Email Template","Template e-mail comentarii livrări"
"Shipment Comment Email Template for Guest","Template e-mail comentarii livrări pt vizitator"
"Shipment Comments","Comentarii livrări"
"Shipment Email Sender","Expeditor e-mail livrari"
"Shipment Email Template","Template e-mail livrări"
"Shipment Email Template for Guest","Template e-mail livrari pt vizitator"
"Shipment Update","Actualizare livrări"
"Shipment Update for Guest","Actualizare livrări pt vizitator"
"Shipment email not sent","E-mail livrare nu a fost trimis"
"Shipment email sent","E-mail livrare trimis"
"Shipments","Livrări"
"Shipped","Livrat"
"Shipped By","Livrat cu"
"Shipping","Transport"
"Shipping & Handling","Transport"
"Shipping & Handling:","Transport:"
"Shipping &amp; Handling","Transport"
"Shipping &amp; Handling Information","Informatii transport"
"Shipping Address","Adresa de livrare"
"Shipping Amount","Valoare de livrat"
"Shipping Information","Informaţii livrare"
"Shipping Method","Metoda de livrare"
"Shipping Method:","Metoda de livrare:"
"Shipping Refund","Stornare cost livrare"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Shopping Cart","Cos de cumparaturi"
"Signed Up From","Abonat de la"
"Sku","Cod"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Cantitatile unelor articole depasesc cantitatile permise. Alegeti o cantitate mai mica."
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Some of the products below don't have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","Ne pare rau, nu avem o cotatie de pret pentru aceasta comanda momentan."
"Source object is not specified.","Source object is not specified."
"State/Province","Judeţ"
"Status","Status"
"Store Credit","Credit magazin"
"Submit Comment","Trimite comentariu"
"Submit Credit Memo","Stornează"
"Submit Invoice","Confirmă"
"Submit Order","Comandă"
"Submit Shipment","Livrează"
"Subscribe to Newsletter","Aboneaza-te la newsletter"
"Subscribe to Order Status","Abonează-te la statusul comenzilor"
"Subtotal","Subtotal"
"Subtotal after discount","Subtotal after discount"
"Subtotal:","Subtotal:"
"TAX/VAT Number","TAX/VAT Number"
"Tax","TVA"
"Tax :","TVA :"
"Tax Amount","Valoare TVA"
"Tax Percent","Tax Percent"
"Telephone","Telefon"
"The item %s (SKU %s) doesn't exist in the catalog anymore","Produsul %s (COD %s) nu mai exista in catalog"
"There are no printable documents related to selected orders","Nu exista documente printabile pentru comenzile selectate"
"This message will be shown in shopping cart when subtotal after discount less than minimum amount","This message will be shown in shopping cart when subtotal after discount less than minimum amount"
"This order no longer exists.","Comanda nu mai exista."
"Tier Pricing","Tier Pricing"
"Title","Titlu"
"To","La"
"To Name","Catre Nume"
"To:","La:"
"Total %d product(s)","Total %d product(s)"
"Total Due","Total de plata"
"Total Paid","Total platit"
"Total Qty","Cantitate totala"
"Total Refund","Total Storno"
"Total Refunded","Total Stornat"
"Total Shipping Charges","Total Shipping Charges"
"Total Tax","Total Tax"
"Total(ex)","Total(fara)"
"Total(inc)","Total(inclusiv)"
"Track Order","Urmăreşte comanda"
"Track all shipment(s)","Urmăreşte toate livrările"
"Track all shipments","Urmăreşte toate livrarile"
"Track this shipment","Urmăreşte livrarea"
"Track your order","Urmăreşte comanda"
"Tracking","Tracking"
"Tracking Number","Număr de urmărire a comenzii"
"Tracking Number(s)","AWB(s)"
"Unhold","Scoate din aşteptare"
"Unhold order","Unhold order"
"Unknown State","Stare necunoscută"
"Unknown Status","Stare necunoscută"
"Update Changes","Actualizează schimbări"
"Update Items and Qty's","Update Items and Qty's"
"Update Qty's","Actualizează cantitate"
"Validate each address separately in multi-address checkout","Validate each address separately in multi-address checkout"
"View","Vezi"
"View All","Vezi toate"
"View Order","Detalii"
"Void","Vida"
"Void invoice","Void invoice"
"Website","Site"
"Wishlist","Favorite"
"You have placed no orders.","Nu ai facut nicio comandă."
"ZIP/Post Code","Cod poştal"
"separate by "",""","separare prin "","""
"My Orders","My Orders"
"Ship To","Destinatar"
