"* Required Fields","* cmâpuri obligatorii"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Trimite parola auto-generata"
"Send confirmation link","Send confirmation link"
"Send welcome email","Trimite email de bun-venit"
"Sending","Se trimite"
"Sent","Trimis"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Seteaza ca adresa standard de facturare"
"Set as Default Shipping Address","Seteaza ca adresa standard de livrare"
"Share Customer Accounts","Partajeaza conturi clienti"
"Ship to First name","Livreaza la Prenume"
"Ship to Last name","Livreaza la Nume"
"Shipped to First Name","Livrat la Prenume"
"Shipped to Last Name","Livrat la Nume"
"Shipped to Name","Livrat la Nume"
"Shipping Information","Informații livrare"
"Shipping Method","Metoda livrare"
"Shopping Cart","Cos de cumparaturi"
"Shopping Cart - %d item(s)","Cos - %d articol(e)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Abonare newsletter"
"Sign up for our newsletter","Abonează-te la newsletter"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"State/Province","Judet"
"Status","Status"
"Store","Magazin"
"Store View","Vitrina magazinului"
"Street Address","Adresa"
"Street Address ","Street Address "
"Subject","Subiect"
"Submit","Trimite"
"Subscribe","Aboneaza-te"
"Subscribe to newsletter","Abonează-te la newsletter"
"Subscribed to Newsletter?","Abonat la Newsletter?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Nume eticheta"
"Tax Class","Clasa de taxare"
"Tax class","Clasa de taxare"
"Tax/VAT number","Tax/VAT number"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Îţi mulţumim pentru înregistrare pe %s."
"The address does not belong to this customer","Aceasta adresa nu apartine clientului."
"The address was successfully deleted","Adresa a fost stearsa."
"The address was successfully saved","Adresa a fost salvata."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Lista de favorite a clientului este goala momentan"
"There are no items in customer's shopping cart at the moment","Cosul clientului este gol momentan"
"There was an error while deleting the address","Eroare la stergerea adresei."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Clientul nu are adrese salvate."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Adresa nu a fost gasita in baza noastra de date."
"This is My Primary %s Address","Aceasta este adresa mea principală %s"
"To Cart","Spre coş"
"Total","Total"
"Type","Tip"
"Unknown","Necunoscut"
"Unsubscribe from newsletter","Dezaboneaza-te de la newsletter"
"Update","Actualizeaza"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Foloseşte ca adresa principala %s "
"Use as my default billing address","Foloseşte ca adresa de facturare standard"
"Use as my default shipping address","Foloseşte ca adresa de livrare standard"
"User description","Descriere utilizator"
"View","Vezi"
"View Order","Vezi comanda"
"View Order List","Vezi lista comenzilor"
"Visible In","Vizibil în"
"Visitor","Vizitator"
"Visitors Only","Doar vizitatori"
"Website","Site"
"Welcome Email","Welcome Email"
"Wishlist","Favorite"
"Wishlist - %d item(s)","Favorite - %d articol(e)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Codul este gresit pentru tara selectata"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Nu ești abonat la niciun newsletter."
"You are currently not subscribed to our newsletter","Nu ești abonat la newsletter."
"You are currently subscribed to 'General Subscription'.","Ești abonat la newsletter."
"You are currently subscribed to our newsletter","Eşti abonat la newsletter-ul nostru."
"You are currently subscribed to our newsletter.","Esti abonat la newsletter-ul nostru."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ai parasit contul si vei fi redirectionat spre pagina principala in 5 secunde."
"You have no additional address entries in your address book.","Nu ai alte adrese salvate în agendă."
"You have no additional entries in your address book.","Nu ai alte intrari in agendă."
"You have no default billing address in your address book.","Nu ai o adresa standard de facturare în agendă."
"You have no default shipping address in your address book.","Nu ai o adresa standard de livrare în agendă."
"You have no primary entries in your address book.","Nu ai intrari principale în agendă."
"You have not set a primary billing address.","Nu ai setat o adresă principala de facturare."
"You have not set a primary shipping address.","Nu ai setat o adresă principala de livrare."
"You have placed no orders yet.","Încă nu ai facut nicio comanda."
"You have placed no products yet.","Nu ai adăugat niciun produs încă."
"You're now Logged Out","Ai iesit din cont."
"Your account balance is: %s","Totalul contului: %s"
"ZIP","ZIP"
"ZIP/Post Code","Cod poştal"
"ZIP/Postal Code","Cod poştal"
"Zip/Postal Code","Cod poştal"
"n/a","n/a"
"or","sau"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"* Required Fields","* Required Fields"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Submit","Submit"
"My Dashboard","Dashboard"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Edit Account Information","Editează contul tău"
"First Name","First Name"
"Last Name","Last Name"
"You are now logged out","Ai fost deconectat cu success."
"You have logged out and will be redirected to our homepage in 5 seconds.","Revenirea la pagina de Home se va face în 5 secunde."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă ești sigur că aceasta este adresa ta de email, <a href=""%s""> click aici </a> pentru a obține parola și a accesa contul."
"Please enter your email address below. You will receive a link to reset your password.","Te rugăm să introduci adresa de email mai jos.<br/> Vei primi un link pentru a reseta parola."
"If there is an account associated with %s you will receive an email with a link to reset your password.","
Dacă există un cont asociat cu %s vei primi e-mail cu un link pentru a reseta parola."
"Your password has been updated.","Parola ta a fost actualizată."
"Your password reset link has expired.","Link-ul pentru resetare a parolei a expirat."
"Reset a Password","Resetează parola"
"The address has been saved.","Adresa a fost salvată."
"The address has been deleted.","Adresa a fost ştearsă."
"The subscription has been saved.","Abonarea la newsletter a fost facută cu succes."
"The subscription has been removed.","Te-ai dezabonat de la newsletter."
"The account information has been saved.","Informaţiile contului tău au fost salvate."
